x,y,date
8351.74382125,-6555.28782042,2017-01-30
16733.7868989,-3577.5266658,2017-03-16
-3479106.39338,3000800.15951,2017-03-16
10099.4437607,1055.57579095,2017-04-25
10864.7042413,-675.773436168,2017-07-04
13125.9390224,-267.473162606,2017-01-27
10198.5178868,596.472686376,2017-02-23
-3479106.39338,3000800.15951,2017-03-16
12277.283678,-3153.54094618,2017-01-27
11466.6985718,-2612.58936368,2017-04-27
16693.4257582,-1817.06799937,2017-02-17
6952.85163193,-2586.98508962,2017-04-26
7322.72697957,-982.901575162,2017-11-01
10847.0332759,-263.061320543,2017-07-04
14682.5797083,-2538.78801952,2017-07-02
11628.3579824,-4580.81230215,2017-04-24
9333.40410396,320.725343999,2017-02-24
13691.1849717,352.269660148,2017-05-05
8721.4444463,-214.649580657,2017-02-24
10226.7705166,-3240.61059937,2017-04-28
8932.51215251,553.670814227,2017-05-05
8821.96719764,-3556.48876672,2017-12-04
17822.8023907,-5346.16405095,2017-08-02
11692.2210816,-4890.44598125,2017-02-03
12739.0694935,-1440.37086425,2017-07-03
11786.0331362,1538.50766779,2017-02-03
9800.91914451,-1179.04627456,2017-06-02
13586.9267608,1264.58916687,2017-04-04
11884.0660837,-1332.14981137,2017-02-03
9695.10619242,-3656.64819383,2017-05-05
8897.82596851,-3513.50291973,2017-04-26
10452.1694762,-2962.65491501,2017-02-14
10520.7832051,-2487.94887151,2017-11-01
8228.52742904,-1218.78913311,2017-02-22
12647.7644028,1293.89607958,2017-04-03
14480.4756494,-4471.35642853,2017-03-20
11271.3995818,-2276.59855809,2017-06-04
11462.4499478,-2268.25179736,2017-01-16
15263.0661377,-1715.56311256,2017-02-03
7248.94142081,-203.443563355,2017-02-23
10582.7216742,-2929.97889617,2017-04-01
13658.9153731,-1110.43415376,2017-03-13
8068.90706666,-3922.98723792,2017-04-01
10215.5077323,654.042413399,2017-03-04
6206.87540524,215.307539594,2017-01-13
12217.6999022,1485.11383814,2017-04-03
13635.8201659,-2061.76700777,2017-03-20
13109.7076033,-1272.65988976,2017-03-15
14707.9219183,155.851662611,2017-01-13
9005.09377404,-3048.54079393,2017-03-01
12326.6272234,-670.827661375,2017-03-17
10971.3019797,-654.62203065,2017-01-16
10726.9455914,-14.0046243249,2017-09-02
8223.28052655,-2022.24240259,2017-04-01
5315.25020767,1228.78369419,2017-09-01
11855.0240575,-1349.0060207,2017-01-14
8937.24484668,-787.485480787,2017-11-02
7773.31314152,-1194.80759777,2017-03-18
8425.307284,-1139.35257496,2017-09-01
12132.4400657,-2356.82975111,2017-01-17
13614.6947692,-2397.90234016,2017-05-01
10684.7082547,-554.808194103,2017-01-30
10188.6674943,-166.792629576,2017-03-20
