x,y,name
-68791.2184918,38058.6424563,"'Estuchados del Azucar, s.l.'"
-68791.2184918,38058.6424563,"'PEPE JEANS,S.L.'"
-68791.2184918,38058.6424563,"'Tubos y Complementos Montcada, s.l.'"
-68791.2184918,38058.6424563,"'Acedem, s.c.l.'"
-68791.2184918,38058.6424563,"'Creaciones López Llauder, s.a.'"
-68791.2184918,38058.6424563,"'Distribuidora Recanvis Accesoris Climatizacion, s.l. *Mig'"
-68791.2184918,38058.6424563,"'Distribuidora Recanvis Accesoris Climatizacion, s.l. *Mig'"
-68791.2184918,38058.6424563,"'Laminex,'"
-68791.2184918,38058.6424563,"'Vec Medical, s.c.c.l.'"
-68791.2184918,38058.6424563,"'NET & LLUENT,S.L.'"
-68791.2184918,38058.6424563,"'Macopal, s.l.'"
-68791.2184918,38058.6424563,"'Limpiezas y Desatascos Can Cuyàs, S.L.'"
12597.5587144,-1142.04419656,'Anheuser-Busch'
-68791.2184918,38058.6424563,"'Furvus Tintas y Colores, s.l.'"
-68791.2184918,38058.6424563,"'Anton System, s.l.'"
-68791.2184918,38058.6424563,"'Broncesval, s.a.'"
-68791.2184918,38058.6424563,"'OPENCOR * TIENDAS DE CONVENIENCIA, S.A.'"
10650.5233384,-1077.43020186,'Pyrenées'
7860.99622731,-2107.98330206,'Fira Espai d'Art *Plaça Comas'
-68791.2184918,38058.6424563,"'Construcciones Mecánicas lahoz, s.l.'"
-68791.2184918,38058.6424563,"'Vendiser, s.l.'"
14790.5138538,-3033.7763284,'Centre Comercial Heron City'
15780.5599521,-2098.86845431,'Love Store *Oficines'
10509.1505729,-116.895267821,'Prica Catalunya'
-68791.2184918,38058.6424563,"'CANVATEC, S.A. - BRISTOL, MYERS, SQUIBB-'"
14981.9704555,991.864768441,'Centre Comercial Diagonal Mar'
14981.9704555,991.864768441,'Hipermercat Alcampo *Diagonal Mar'
13129.8517326,26.772828866,'Botiga FNAC *Glòries'
-68791.2184918,38058.6424563,"'Irislac, s.l.'"
10383.2975739,-136.235127781,'Fabisa'
-68791.2184918,38058.6424563,"'Fagoma, s.a.'"
16402.0880635,-2608.72462327,'Centre Comercial de La Maquinista'
-68791.2184918,38058.6424563,"'Fitelbo, s.l.'"
-68791.2184918,38058.6424563,"'Bara Ezquerra, s.a'"
-68791.2184918,38058.6424563,"'Barlo Plastics, s.a. - Antiga Critesa'"
-68791.2184918,38058.6424563,"'Unió Musical Española, s.a.'"
-68791.2184918,38058.6424563,'Schlecker *Central'
-68791.2184918,38058.6424563,"'Sociedad Española de Grandes Aparatos Domesticos, s.a.'"
-68791.2184918,38058.6424563,"'Manipulados Temais, s.l.'"
7782.26274904,-2905.24801573,'Hilo Musical'
-68791.2184918,38058.6424563,"'Manipulación Especial del Papel, s.a.'"
-68791.2184918,38058.6424563,"'Compañia de Productos Naturales LLeo, s.l.'"
